Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Season
baseball,italy,ibl,1.50,73,38,1.4732,0.5205,-16.84,-0.2307,-0.4876,
baseball,japan,npb,1.30,121,77,1.2709,0.6364,-23.32,-0.1927,-0.7114,
baseball,japan,npb,1.40,451,308,1.3595,0.6829,-32.3400000000001,-0.0717,-0.1995,
baseball,japan,npb,1.50,891,583,1.4619,0.6543,-38.3900000000002,-0.0431,-0.0933,
baseball,mexico,lmb,1.20,22,22,1.1950,1.0000,4.29,0.1950,1.0000,
baseball,mexico,lmb,1.40,55,22,1.3780,0.4000,-24.86,-0.4520,-1.1958,
baseball,mexico,lmb,1.50,352,275,1.4594,0.7813,48.6200000000002,0.1381,0.3007,
baseball,mexico,lmp,1.50,14,7,1.4750,0.5000,-3.5,-0.2500,-0.5263,
baseball,netherlands,hoofdklasse,1.10,138,107,1.0562,0.7754,-25.42,-0.1842,-3.2800,
baseball,netherlands,hoofdklasse,1.20,138,93,1.1464,0.6739,-31.02,-0.2248,-1.5356,
baseball,netherlands,hoofdklasse,1.30,87,57,1.2553,0.6552,-15.45,-0.1776,-0.6956,
baseball,netherlands,hoofdklasse,1.40,115,61,1.3607,0.5304,-32.1,-0.2791,-0.7739,
baseball,netherlands,hoofdklasse,1.50,150,109,1.4585,0.7267,9.06,0.0604,0.1317,
baseball,north-central-america,caribbean-series,1.50,4,1,1.4825,0.2500,-2.5,-0.6250,-1.2953,
baseball,puerto-rico,prbl,1.50,33,27,1.4673,0.8182,6.6,0.2000,0.4280,
baseball,south-korea,kbo,1.30,44,44,1.2850,1.0000,12.54,0.2850,1.0000,
baseball,south-korea,kbo,1.40,176,132,1.3613,0.7500,3.3,0.0188,0.0519,
baseball,south-korea,kbo,1.50,370,218,1.4612,0.5892,-51.3299999999999,-0.1387,-0.3008,
baseball,taiwan,cpbl,1.30,8,8,1.2950,1.0000,2.36,0.2950,1.0000,
baseball,taiwan,cpbl,1.40,17,9,1.3841,0.5294,-4.55,-0.2676,-0.6968,
baseball,taiwan,cpbl,1.50,38,30,1.4503,0.7895,5.55,0.1461,0.3244,
baseball,usa,il,1.50,263,164,1.4749,0.6236,-19.75,-0.0751,-0.1581,
baseball,usa,mlb,1.30,22,22,1.2900,1.0000,6.38,0.2900,1.0000,
baseball,usa,mlb,1.40,133,100,1.3810,0.7519,5.13000000000001,0.0386,0.1012,
baseball,usa,mlb,1.50,466,332,1.4587,0.7124,17.9,0.0384,0.0837,
baseball,usa,pcl,1.40,22,11,1.4000,0.5000,-6.6,-0.3000,-0.7500,
baseball,usa,pcl,1.50,226,97,1.4591,0.4292,-84.5099999999999,-0.3739,-0.8145,
baseball,venezuela,lvbp,1.50,6,0,1.4900,0.0000,-6,-1.0000,-2.0408,
baseball,world,friendly-international,1.20,6,3,1.1783,0.5000,-2.48,-0.4133,-2.3178,
baseball,world,friendly-international,1.30,6,5,1.2400,0.8333,0.22,0.0367,0.1528,
baseball,world,friendly-international,1.40,5,3,1.3360,0.6000,-1.04,-0.2080,-0.6190,
baseball,world,friendly-international,1.50,6,4,1.4583,0.6667,-0.0700000000000001,-0.0117,-0.0255,
baseball,world,pan-american-games,1.10,1,1,1.0800,1.0000,0.0800000000000001,0.0800,1.0000,
baseball,world,pan-american-games,1.20,6,6,1.1583,1.0000,0.95,0.1583,1.0000,
baseball,world,pan-american-games,1.30,4,2,1.2325,0.5000,-1.54,-0.3850,-1.6559,
baseball,world,pan-american-games,1.40,3,3,1.3500,1.0000,1.05,0.3500,1.0000,
baseball,world,pan-american-games,1.50,1,1,1.5000,1.0000,0.5,0.5000,1.0000,
baseball,world,universiade,1.10,2,2,1.0450,1.0000,0.0900000000000001,0.0450,1.0000,
baseball,world,universiade,1.20,8,6,1.1700,0.7500,-1,-0.1250,-0.7353,
baseball,world,universiade,1.30,4,3,1.2525,0.7500,-0.24,-0.0600,-0.2376,
baseball,world,universiade,1.40,1,1,1.4000,1.0000,0.4,0.4000,1.0000,
baseball,world,universiade,1.50,1,0,1.4500,0.0000,-1,-1.0000,-2.2222,
baseball,world,wbsc-premier-12,1.10,5,5,1.0740,1.0000,0.37,0.0740,1.0000,
baseball,world,wbsc-premier-12,1.20,4,3,1.1625,0.7500,-0.5,-0.1250,-0.7692,
baseball,world,wbsc-premier-12,1.30,9,5,1.2767,0.5556,-2.67,-0.2967,-1.0723,
baseball,world,wbsc-premier-12,1.40,1,1,1.3800,1.0000,0.38,0.3800,1.0000,
baseball,world,wbsc-premier-12,1.50,6,6,1.4650,1.0000,2.79,0.4650,1.0000,
baseball,world,world-baseball-classic,1.10,32,29,1.0472,0.9063,-1.63,-0.0509,-1.0795,
baseball,world,world-baseball-classic,1.20,26,21,1.1554,0.8077,-1.72,-0.0662,-0.4257,
baseball,world,world-baseball-classic,1.30,30,26,1.2540,0.8667,2.56,0.0853,0.3360,
baseball,world,world-baseball-classic,1.40,44,25,1.3498,0.5682,-10.16,-0.2309,-0.6602,
baseball,world,world-baseball-classic,1.50,34,20,1.4459,0.5882,-5.22,-0.1535,-0.3443,
basketball,africa,africa-champions-cup,1.10,5,5,1.0660,1.0000,0.33,0.0660,1.0000,
basketball,africa,africa-champions-cup,1.20,4,2,1.1750,0.5000,-1.62,-0.4050,-2.3143,
basketball,africa,africa-champions-cup,1.30,2,2,1.2750,1.0000,0.55,0.2750,1.0000,
basketball,africa,africa-champions-cup,1.40,3,1,1.3633,0.3333,-1.62,-0.5400,-1.4862,
basketball,africa,africa-champions-cup,1.50,3,2,1.4533,0.6667,-0.13,-0.0433,-0.0956,
basketball,africa,african-championship-u16,1.10,1,1,1.0800,1.0000,0.0800000000000001,0.0800,1.0000,
basketball,africa,african-championship-u16,1.50,1,0,1.4100,0.0000,-1,-1.0000,-2.4390,
basketball,africa,african-championship-women,1.10,11,10,1.0355,0.9091,-0.67,-0.0609,-1.7179,
basketball,africa,african-championship-women,1.20,4,4,1.1325,1.0000,0.53,0.1325,1.0000,
basketball,africa,african-championship-women,1.30,6,5,1.2717,0.8333,0.34,0.0567,0.2086,
basketball,africa,african-championship-women,1.40,1,1,1.3700,1.0000,0.37,0.3700,1.0000,
basketball,africa,african-championship-women,1.50,3,2,1.4433,0.6667,-0.16,-0.0533,-0.1203,
basketball,africa,african-championship,1.10,85,76,1.0348,0.8941,-6.49,-0.0764,-2.1926,
basketball,africa,african-championship,1.20,28,21,1.1461,0.7500,-3.93,-0.1404,-0.9609,
basketball,africa,african-championship,1.30,30,14,1.2503,0.4667,-12.5,-0.4167,-1.6644,
basketball,africa,african-championship,1.40,29,23,1.3507,0.7931,2.1,0.0724,0.2065,
basketball,africa,african-championship,1.50,17,14,1.4571,0.8235,3.44,0.2024,0.4427,
basketball,argentina,liga-a,1.10,130,106,1.0797,0.8154,-15.56,-0.1197,-1.5019,
basketball,argentina,liga-a,1.20,345,276,1.1649,0.8000,-24.36,-0.0706,-0.4282,
