american-football,austria,afl,1.10,24,23,1.0383,0.9583,-0.179999999999999,-0.0075,-0.1957,2017
american-football,austria,afl,1.20,5,5,1.1660,1.0000,0.83,0.1660,1.0000,2017
american-football,austria,afl,1.30,1,0,1.2500,0.0000,-1,-1.0000,-4.0000,2017
american-football,austria,afl,1.40,4,2,1.3625,0.5000,-1.25,-0.3125,-0.8621,2017
american-football,austria,afl,1.50,2,1,1.4600,0.5000,-0.58,-0.2900,-0.6304,2017
american-football,austria,afl,1.10,15,14,1.0253,0.9333,-0.63,-0.0420,-1.6579,2016
american-football,austria,afl,1.20,6,5,1.1583,0.8333,-0.2,-0.0333,-0.2105,2016
american-football,austria,afl,1.30,3,2,1.2833,0.6667,-0.45,-0.1500,-0.5294,2016
american-football,austria,afl,1.40,4,4,1.3750,1.0000,1.5,0.3750,1.0000,2016
american-football,austria,afl,1.50,2,0,1.5000,0.0000,-2,-1.0000,-2.0000,2016
american-football,austria,afl,1.10,8,8,1.0600,1.0000,0.48,0.0600,1.0000,2015
american-football,austria,afl,1.20,2,2,1.1350,1.0000,0.27,0.1350,1.0000,2015
american-football,austria,afl,1.40,1,1,1.4000,1.0000,0.4,0.4000,1.0000,2015
american-football,austria,afl,1.50,1,0,1.5000,0.0000,-1,-1.0000,-2.0000,2015
american-football,austria,afl,1.10,11,10,1.0691,0.9091,-0.289999999999999,-0.0264,-0.3816,2014
american-football,austria,afl,1.20,2,1,1.1500,0.5000,-0.85,-0.4250,-2.8333,2014
american-football,austria,afl,1.30,1,0,1.3000,0.0000,-1,-1.0000,-3.3333,2014
american-football,austria,afl,1.50,3,3,1.4667,1.0000,1.4,0.4667,1.0000,2014
american-football,austria,afl,1.10,1,1,1.0200,1.0000,0.02,0.0200,1.0000,2013
american-football,austria,afl,1.30,1,1,1.2500,1.0000,0.25,0.2500,1.0000,2013
american-football,canada,cfl,1.20,1,1,1.1600,1.0000,0.16,0.1600,1.0000,2017
american-football,canada,cfl,1.30,4,4,1.2625,1.0000,1.05,0.2625,1.0000,2017
american-football,canada,cfl,1.40,4,4,1.3450,1.0000,1.38,0.3450,1.0000,2017
american-football,canada,cfl,1.50,2,2,1.4750,1.0000,0.95,0.4750,1.0000,2017
american-football,canada,cfl,1.10,6,6,1.0900,1.0000,0.54,0.0900,1.0000,2016
american-football,canada,cfl,1.20,4,4,1.1800,1.0000,0.72,0.1800,1.0000,2016
american-football,canada,cfl,1.30,14,10,1.2329,0.7143,-1.72,-0.1229,-0.5276,2016
american-football,canada,cfl,1.40,12,6,1.3500,0.5000,-3.96,-0.3300,-0.9429,2016
american-football,canada,cfl,1.50,18,10,1.4522,0.5556,-3.42,-0.1900,-0.4201,2016
american-football,canada,cfl,1.20,12,10,1.1567,0.8333,-0.46,-0.0383,-0.2447,2015
american-football,canada,cfl,1.30,16,14,1.2613,0.8750,1.66,0.1038,0.3971,2015
