Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money
soccer,world,world-cup,1.50,66,66,1.4567,1.0000,30.14,0.4567,1.0000
volleyball,argentina,serie-a1,1.20,58,55,1.1616,0.9483,5.83,0.1005,0.6222
volleyball,argentina,serie-a1,1.30,51,51,1.2516,1.0000,12.83,0.2516,1.0000
volleyball,austria,avl-women,1.30,29,27,1.2566,0.9310,5,0.1724,0.6720
volleyball,brazil,superliga-women,1.40,75,64,1.3440,0.8533,10.97,0.1463,0.4252
volleyball,brazil,superliga,1.40,36,31,1.3522,0.8611,5.96,0.1656,0.4700
volleyball,china,cvl,1.20,39,39,1.1408,1.0000,5.49,0.1408,1.0000
volleyball,croatia,superliga-women,1.30,38,36,1.2711,0.9474,7.77,0.2045,0.7544
volleyball,denmark,volleyligaen-women,1.30,23,21,1.2535,0.9130,3.41,0.1483,0.5849
volleyball,denmark,volleyligaen-women,1.40,23,19,1.3596,0.8261,2.89,0.1257,0.3495
volleyball,europe,baltic-league,1.50,24,21,1.4658,0.8750,6.74,0.2808,0.6029
volleyball,europe,cev-cup,1.30,36,32,1.2606,0.8889,4.4,0.1222,0.4691
volleyball,europe,challenge-cup-women,1.50,26,20,1.4562,0.7692,3.2,0.1231,0.2698
volleyball,europe,challenge-cup,1.50,31,24,1.4406,0.7742,3.53,0.1139,0.2584
volleyball,europe,european-championship-u20,1.50,20,16,1.4605,0.8000,3.33,0.1665,0.3616
volleyball,europe,european-championships,1.30,33,30,1.2548,0.9091,4.66,0.1412,0.5541
volleyball,finland,mestaruusliiga,1.30,48,48,1.2581,1.0000,12.39,0.2581,1.0000
volleyball,germany,2-bundesliga-north-women,1.40,29,29,1.3931,1.0000,11.4,0.3931,1.0000
volleyball,germany,2-bundesliga-north-women,1.50,28,21,1.4946,0.7500,3.44,0.1229,0.2484
volleyball,greece,a1-women,1.40,30,27,1.3520,0.9000,6.36,0.2120,0.6023
volleyball,greece,a1-women,1.50,52,40,1.4638,0.7692,6.54,0.1258,0.2711
volleyball,italy,serie-a1-women,1.40,60,49,1.3512,0.8167,6.3,0.1050,0.2990
volleyball,italy,serie-a1,1.50,79,61,1.4487,0.7722,9.42,0.1192,0.2657
volleyball,italy,serie-a2,1.40,76,67,1.3587,0.8816,14.84,0.1953,0.5444
volleyball,italy,serie-a2,1.50,62,49,1.4544,0.7903,9.35,0.1508,0.3319
volleyball,japan,v-premier-league-women,1.30,58,55,1.2566,0.9483,11.22,0.1934,0.7540
volleyball,poland,orlen-liga-women,1.40,40,34,1.3625,0.8500,6.46,0.1615,0.4455
volleyball,portugal,1-divisao-women,1.20,23,22,1.1622,0.9565,2.53,0.1100,0.6783
volleyball,romania,divizia-a1,1.30,67,60,1.2675,0.8955,8.99,0.1342,0.5017
volleyball,russia,superleague,1.30,130,116,1.2622,0.8923,16.45,0.1265,0.4825
volleyball,russia,vysshaya-league,1.50,68,56,1.4456,0.8235,13.14,0.1932,0.4337
volleyball,serbia,liga,1.50,33,27,1.4700,0.8182,6.75,0.2045,0.4352
volleyball,slovenia,1-dol,1.20,86,83,1.1578,0.9651,10.12,0.1177,0.7458
volleyball,slovenia,1-dol,1.40,36,30,1.3383,0.8333,3.98,0.1106,0.3268
volleyball,south-korea,volleyball-league,1.30,71,65,1.2490,0.9155,10.36,0.1459,0.5860
volleyball,south-korea,volleyball-league,1.50,36,36,1.4592,1.0000,16.53,0.4592,1.0000
volleyball,spain,superliga,1.40,42,35,1.3540,0.8333,5.48,0.1305,0.3685
volleyball,ukraine,superleague,1.40,24,20,1.3513,0.8333,2.83,0.1179,0.3357
volleyball,world,world-championship,1.20,21,21,1.1514,1.0000,3.18,0.1514,1.0000
volleyball,world,world-championship,1.40,36,33,1.3400,0.9167,8.16,0.2267,0.6667
volleyball,world,world-grand-prix-women,1.20,76,73,1.1576,0.9605,8.5,0.1118,0.7095
volleyball,world,world-grand-prix-women,1.50,43,34,1.4572,0.7907,6.26,0.1456,0.3184
water-polo,italy,a1,1.30,23,23,1.2552,1.0000,5.87,0.2552,1.0000
water-polo,italy,a1,1.40,29,25,1.3483,0.8621,4.7,0.1621,0.4653
