Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money
rugby-league,australia,nrl,1.20,24,24,1.1775,1.0000,4.26,0.1775,1.0000
rugby-union,england,aviva-premiership-rugby,1.30,27,24,1.2578,0.8889,3.09,0.1144,0.4440
rugby-union,england,greene-king-ipa-championship,1.30,21,21,1.2543,1.0000,5.34,0.2543,1.0000
rugby-union,europe,guinness-pro12,1.40,44,39,1.3548,0.8864,8.95,0.2034,0.5734
rugby-union,italy,eccellenza,1.20,60,58,1.1635,0.9667,7.53,0.1255,0.7676
rugby-union,world,super-rugby,1.50,50,38,1.4626,0.7600,5.65,0.1130,0.2443
soccer,australia,brisbane-premier-league,1.40,36,30,1.3475,0.8333,4.35,0.1208,0.3477
soccer,australia,npl-victoria,1.40,24,24,1.3608,1.0000,8.66,0.3608,1.0000
soccer,australia,npl-western-australia,1.40,32,32,1.3738,1.0000,11.96,0.3738,1.0000
soccer,austria,regionalliga-west,1.50,83,64,1.4516,0.7711,10.01,0.1206,0.2671
soccer,austria,tipico-bundesliga,1.50,24,24,1.4367,1.0000,10.48,0.4367,1.0000
soccer,belarus,belarusian-cup,1.40,22,18,1.3573,0.8182,2.47,0.1123,0.3142
soccer,belgium,proximus-league,1.50,35,27,1.4594,0.7714,4.24,0.1211,0.2637
soccer,bosnia-and-herzegovina,premier-league,1.40,39,34,1.3528,0.8718,6.76,0.1733,0.4913
soccer,brazil,campeonato-carioca,1.40,34,28,1.3641,0.8235,4.22,0.1241,0.3409
soccer,canada,csl,1.20,28,28,1.1668,1.0000,4.67,0.1668,1.0000
soccer,chile,chilean-cup,1.50,22,18,1.4641,0.8182,4.22,0.1918,0.4133
soccer,china,fa-cup,1.40,21,18,1.3600,0.8571,3.57,0.1700,0.4722
soccer,china,super-league,1.50,45,40,1.4533,0.8889,12.9,0.2867,0.6324
soccer,colombia,liga-aguila,1.50,26,26,1.4758,1.0000,12.37,0.4758,1.0000
soccer,croatia,1-hnl,1.20,21,21,1.1671,1.0000,3.51,0.1671,1.0000
soccer,croatia,1-hnl,1.50,54,42,1.4506,0.7778,6.93,0.1283,0.2848
soccer,cyprus,first-division,1.30,45,40,1.2509,0.8889,5.14,0.1142,0.4553
soccer,czech-republic,cfl,1.40,25,25,1.3564,1.0000,8.91,0.3564,1.0000
soccer,czech-republic,division-2,1.20,25,25,1.1700,1.0000,4.25,0.1700,1.0000
soccer,czech-republic,youth-league,1.40,50,43,1.3588,0.8600,8.49000000000001,0.1698,0.4732
soccer,czech-republic,youth-league,1.50,75,60,1.4555,0.8000,11.8,0.1573,0.3454
soccer,denmark,1st-division,1.40,34,34,1.3488,1.0000,11.86,0.3488,1.0000
