Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Season
baseball,italy,ibl,1.2,51,50,1.158,0.9804,6.92,0.1357,0.8586,
baseball,mexico,lmb,1.5,352,275,1.4594,0.7813,48.62,0.1381,0.3007,
baseball,south-korea,kbo,1.3,44,44,1.285,1,12.54,0.285,1,
basketball,asia,abl,1.2,80,77,1.1613,0.9625,9.36,0.117,0.7256,
basketball,australia,seabl,1.5,185,140,1.4569,0.7568,18.82,0.1017,0.2226,
basketball,china,cba,1.4,308,253,1.354,0.8214,35.26,0.1145,0.3234,
basketball,china,wcba-women,1.3,90,81,1.264,0.9,12.31,0.1368,0.5181,
basketball,croatia,a1-liga,1.5,153,123,1.4558,0.8039,26.64,0.1741,0.382,
basketball,europe,champions-league,1.3,63,63,1.2467,1,15.54,0.2467,1,
basketball,europe,champions-league,1.5,56,49,1.4463,0.875,14.77,0.2638,0.591,
basketball,europe,euroleague-women,1.5,130,99,1.4471,0.7615,13.25,0.1019,0.228,
basketball,europe,european-championship-u16-women,1.5,50,40,1.4488,0.8,7.96,0.1592,0.3547,
basketball,europe,european-championship-u18-b-women,1.4,70,60,1.3474,0.8571,10.74,0.1534,0.4416,
basketball,finland,korisliiga,1.5,228,173,1.4554,0.7588,23.88,0.1047,0.23,
basketball,france,lfb-women,1.4,116,96,1.3548,0.8276,14.08,0.1214,0.3421,
basketball,hungary,nb-i-a,1.5,186,142,1.4667,0.7634,22.16,0.1191,0.2553,
basketball,indonesia,ibl,1.4,71,60,1.3523,0.8451,9.91,0.1396,0.3962,
basketball,italy,a2-east,1.4,171,141,1.3587,0.8246,20.62,0.1206,0.3362,
basketball,italy,a2-east,1.5,176,136,1.4538,0.7727,22.02,0.1251,0.2757,
basketball,italy,a2-play-offs,1.5,42,33,1.4524,0.7857,5.95,0.1417,0.3132,
basketball,italy,a2-west,1.4,352,301,1.3567,0.8551,56.36,0.1601,0.4489,
basketball,italy,serie-a1-women,1.5,130,100,1.4463,0.7692,14.45,0.1112,0.2491,
basketball,lithuania,nkl,1.4,50,50,1.346,1,17.3,0.346,1,
basketball,philippines,fiesta-conference,1.5,40,32,1.4535,0.8,6.48,0.162,0.3572,
basketball,puerto-rico,bsn,1.3,58,54,1.2721,0.931,10.58,0.1824,0.6705,
basketball,puerto-rico,bsn,1.4,163,143,1.3654,0.8773,32.26,0.1979,0.5416,
basketball,russia,pbl,1.4,125,104,1.3494,0.832,15.67,0.1254,0.3587,
basketball,russia,vtb-united-league,1.3,229,221,1.2552,0.9651,48.35,0.2111,0.8272,
basketball,slovakia,extraliga,1.2,203,194,1.1564,0.9557,21.46,0.1057,0.6761,
basketball,south-korea,kbl,1.3,249,220,1.2571,0.8835,27.51,0.1105,0.4296,
basketball,south-korea,wkbl-women,1.2,57,54,1.1663,0.9474,5.97,0.1047,0.6297,
basketball,switzerland,lna,1.5,142,110,1.4507,0.7746,17.45,0.1229,0.2727,
basketball,turkey,kbsl-women,1.4,121,104,1.3526,0.8595,19.4,0.1603,0.4548,
basketball,turkey,tbl,1.5,98,81,1.4548,0.8265,19.69,0.2009,0.4418,
basketball,ukraine,superleague,1.4,220,188,1.3564,0.8545,35.4,0.1609,0.4515,
basketball,usa,wnba,1.2,231,223,1.1523,0.9654,26.25,0.1136,0.7464,
basketball,venezuela,lpb,1.2,80,76,1.1688,0.95,8.9,0.1113,0.6593,
basketball,venezuela,lpb,1.4,164,148,1.3595,0.9024,37.04,0.2259,0.6282,
basketball,world,friendly-international,1.5,102,80,1.4605,0.7843,14.94,0.1465,0.3181,
handball,europe,champions-league-women,1.5,67,53,1.4607,0.791,10.41,0.1554,0.3372,
handball,europe,cup-winners-cup-women,1.2,48,46,1.1592,0.9583,5.26,0.1096,0.6885,
handball,europe,european-championship-u19-women,1.4,42,38,1.35,0.9048,9.22,0.2195,0.6272,
handball,europe,whil-women,1.4,106,86,1.3615,0.8113,11.4,0.1075,0.2975,
handball,finland,sm-sarja,1.4,102,84,1.3594,0.8235,12.18,0.1194,0.3322,
handball,france,division-1-women,1.3,104,93,1.2551,0.8942,12.75,0.1226,0.4806,
handball,france,division-1-women,1.4,137,116,1.3684,0.8467,21.54,0.1572,0.4268,
handball,hungary,nb-i-women,1.5,109,85,1.4601,0.7798,14.93,0.137,0.2977,
handball,hungary,nb-i,1.3,133,116,1.2641,0.8722,13.38,0.1006,0.3809,
handball,norway,1-division-women,1.3,89,80,1.2616,0.8989,12.24,0.1375,0.5258,
handball,norway,1-division,1.4,88,72,1.3635,0.8182,10.11,0.1149,0.316,
handball,norway,1-division,1.5,96,77,1.4581,0.8021,15.93,0.1659,0.3622,
handball,slovakia,extraliga,1.3,72,64,1.2539,0.8889,8.29,0.1151,0.4535,
hockey,belarus,extraleague,1.3,125,112,1.2555,0.896,16.15,0.1292,0.5056,
hockey,canada,ohl,1.3,55,55,1.256,1,14.08,0.256,1,
hockey,canada,whl,1.5,275,209,1.4552,0.76,31.02,0.1128,0.2478,
hockey,czech-republic,wsm-liga,1.4,272,228,1.3572,0.8382,38.33,0.1409,0.3945,
hockey,finland,mestis,1.2,64,64,1.1575,1,10.08,0.1575,1,
hockey,finland,mestis,1.4,237,208,1.3617,0.8776,45.8,0.1932,0.5342,
hockey,france,ligue-magnus,1.2,71,71,1.1568,1,11.13,0.1568,1,
hockey,germany,del,1.4,163,138,1.3738,0.8466,26.79,0.1644,0.4397,
hockey,germany,del2,1.5,257,196,1.4614,0.7626,29.93,0.1165,0.2524,
hockey,germany,oberliga-south,1.4,173,142,1.3622,0.8208,20.53,0.1187,0.3276,
hockey,italy,serie-a,1.4,97,81,1.3465,0.8351,12.26,0.1264,0.3648,
hockey,italy,serie-a,1.5,133,127,1.4428,0.9549,50.37,0.3787,0.8553,
hockey,kazakhstan,championship,1.2,47,47,1.1551,1,7.29,0.1551,1,
hockey,norway,get-ligaen,1.2,197,191,1.1505,0.9695,22.8,0.1157,0.7692,
hockey,poland,polish-hockey-league,1.4,230,199,1.3614,0.8652,41.23,0.1793,0.496,
hockey,russia,mhl,1.4,110,99,1.373,0.9,25.74,0.234,0.6273,
hockey,sweden,division-1-norra,1.3,42,42,1.2614,1,10.98,0.2614,1,
hockey,sweden,division-1,1.5,42,32,1.4581,0.7619,4.6,0.1095,0.2391,
hockey,sweden,hockeyallsvenskan,1.5,225,171,1.454,0.76,22.77,0.1012,0.2229,
