Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
soccer,world,world-cup,1.5,123,41,41,1.4494,1,18.35666667,0.4494,1,3,3,0.444,0.4566666667,1,1
hockey,italy,serie-a,1.5,133,22.16666667,21.16666667,1.4431,0.9722,8.395,0.4036,0.9093,6,6,0.1983333333,0.465,0.4559386973,1
basketball,lithuania,nkl,1.4,50,50,50,1.346,1,17.3,0.346,1,1,1,0.346,0.346,1,1
soccer,finland,kakkonen-west,1.5,63,15.75,13.5,1.4497,0.9063,3.93,0.3125,0.7039,4,4,0.085,0.435,0.1857923497,1
soccer,japan,j-league,1.3,88,11,11,1.2685,1,2.90125,0.2685,1,8,8,0.2433333333,0.3,1,1
basketball,europe,champions-league,1.5,56,56,49,1.4463,0.875,14.77,0.2638,0.591,1,1,0.26375,0.26375,0.5910364146,0.5910364146
hockey,sweden,hockeyettan-ostra,1.4,90,30,28,1.3492,0.9333,7.8,0.2599,0.7418,3,3,0.078,0.3516666667,0.225433526,1
hockey,canada,ohl,1.3,55,13.75,13.75,1.2588,1,3.52,0.2588,1,4,4,0.245,0.27,1,1
soccer,england,championship,1.3,81,13.5,13.5,1.2583,1,3.576666667,0.2583,1,6,6,0.23,0.28,1,1
basketball,venezuela,lpb,1.4,164,32.8,29.6,1.3586,0.925,7.408,0.2563,0.7175,5,5,0.025,0.364,0.06711409396,1
basketball,europe,champions-league,1.3,63,63,63,1.2467,1,15.54,0.2467,1,1,1,0.2466666667,0.2466666667,1,1
soccer,russia,division-2-ural-povolzhye,1.3,81,13.5,12.83333333,1.2669,0.9762,2.733333333,0.2365,0.8828,6,6,0.07714285714,0.28,0.2967032967,1
baseball,south-korea,kbo,1.3,44,22,22,1.28,1,6.27,0.28,1,2,2,0.27,0.29,1,1
basketball,puerto-rico,bsn,1.3,58,19.33333333,18,1.2694,0.9524,3.526666667,0.2075,0.78,3,3,0.09571428571,0.27,0.3401015228,1
