handball,africa,african-championship,1.10,14,14,1.0279,1.0000,0.39,0.0279,2016
handball,africa,african-championship,1.20,18,18,1.0583,1.0000,1.05,0.0583,2016
handball,africa,african-championship,1.30,25,23,1.1124,0.9200,0.28,0.0112,2016
handball,africa,african-championship,1.40,27,24,1.1333,0.8889,-0.32,-0.0119,2016
handball,africa,african-championship,1.50,27,24,1.1333,0.8889,-0.32,-0.0119,2016
handball,asia,asian-championship-women,1.10,8,8,1.0188,1.0000,0.15,0.0188,2017
handball,asia,asian-championship-women,1.20,13,12,1.0731,0.9231,-0.21,-0.0162,2017
handball,asia,asian-championship-women,1.30,14,13,1.0836,0.9286,0.00999999999999979,0.0007,2017
handball,asia,asian-championship-women,1.40,14,13,1.0836,0.9286,0.00999999999999979,0.0007,2017
handball,asia,asian-championship-women,1.50,15,14,1.1113,0.9333,0.51,0.0340,2017
handball,asia,asian-championship-women,1.10,3,2,1.0400,0.6667,-0.93,-0.3100,2015
handball,asia,asian-championship-women,1.20,4,3,1.0650,0.7500,-0.79,-0.1975,2015
handball,asia,asian-championship-women,1.30,5,4,1.1120,0.8000,-0.49,-0.0980,2015
handball,asia,asian-championship-women,1.40,5,4,1.1120,0.8000,-0.49,-0.0980,2015
handball,asia,asian-championship-women,1.50,7,5,1.2086,0.7143,-1.04,-0.1486,2015
handball,asia,asian-championship-women,1.10,3,3,1.0533,1.0000,0.16,0.0533,2012
handball,asia,asian-championship-women,1.20,3,3,1.0533,1.0000,0.16,0.0533,2012
handball,asia,asian-championship-women,1.30,5,5,1.1420,1.0000,0.71,0.1420,2012
handball,asia,asian-championship-women,1.40,5,5,1.1420,1.0000,0.71,0.1420,2012
handball,asia,asian-championship-women,1.50,6,5,1.1933,0.8333,-0.29,-0.0483,2012
handball,asia,asian-championship,1.10,14,14,1.0371,1.0000,0.52,0.0371,2016
handball,asia,asian-championship,1.20,19,16,1.0721,0.8421,-2.12,-0.1116,2016
handball,asia,asian-championship,1.30,22,19,1.0977,0.8636,-1.34,-0.0609,2016
handball,asia,asian-championship,1.40,24,21,1.1196,0.8750,-0.620000000000001,-0.0258,2016
handball,asia,asian-championship,1.50,27,22,1.1570,0.8148,-2.2,-0.0815,2016
handball,asia,asian-championship,1.10,16,14,1.0375,0.8750,-1.47,-0.0919,2014
handball,asia,asian-championship,1.20,17,15,1.0465,0.8824,-1.28,-0.0753,2014
handball,asia,asian-championship,1.30,20,17,1.0810,0.8500,-1.73,-0.0865,2014
handball,asia,asian-championship,1.40,24,20,1.1304,0.8333,-1.61,-0.0671,2014
handball,asia,asian-championship,1.50,25,20,1.1444,0.8000,-2.61,-0.1044,2014
handball,asia,asian-games-women,1.10,2,2,1.0650,1.0000,0.13,0.0650,2014
handball,asia,asian-games-women,1.20,4,4,1.0975,1.0000,0.39,0.0975,2014
handball,asia,asian-games-women,1.30,5,5,1.1200,1.0000,0.6,0.1200,2014
handball,asia,asian-games-women,1.40,6,6,1.1617,1.0000,0.97,0.1617,2014
handball,asia,asian-games-women,1.50,7,6,1.2057,0.8571,-0.0299999999999998,-0.0043,2014
handball,asia,asian-games,1.10,7,7,1.0514,1.0000,0.36,0.0514,2014
handball,asia,asian-games,1.20,9,9,1.0656,1.0000,0.590000000000001,0.0656,2014
handball,asia,asian-games,1.30,12,12,1.1150,1.0000,1.38,0.1150,2014
handball,asia,asian-games,1.40,17,16,1.1876,0.9412,1.83,0.1076,2014
handball,asia,asian-games,1.50,18,17,1.2022,0.9444,2.28,0.1267,2014
handball,austria,hla,1.10,6,6,1.0300,1.0000,0.18,0.0300,2016
handball,austria,hla,1.20,21,21,1.1271,1.0000,2.67,0.1271,2016
handball,austria,hla,1.30,39,33,1.1915,0.8462,-0.21,-0.0054,2016
handball,austria,hla,1.40,54,45,1.2400,0.8333,1.08,0.0200,2016
handball,austria,hla,1.50,75,60,1.3032,0.8000,2.1,0.0280,2016
handball,austria,hla,1.10,24,24,1.0433,1.0000,1.04,0.0433,2015
handball,austria,hla,1.20,64,52,1.1019,0.8125,-7.08,-0.1106,2015
handball,austria,hla,1.30,80,64,1.1340,0.8000,-7.72,-0.0965,2015
handball,austria,hla,1.40,96,72,1.1721,0.7500,-12.96,-0.1350,2015
handball,austria,hla,1.50,112,88,1.2104,0.7857,-5.92,-0.0529,2015
handball,austria,hla,1.10,20,16,1.0480,0.8000,-3.36,-0.1680,2014
handball,austria,hla,1.20,44,36,1.1000,0.8182,-4.48,-0.1018,2014
handball,austria,hla,1.30,56,48,1.1350,0.8571,-1.32,-0.0236,2014
handball,austria,hla,1.40,96,84,1.2333,0.8750,7.92,0.0825,2014
handball,austria,hla,1.50,124,108,1.2887,0.8710,15.36,0.1239,2014
handball,austria,hla,1.10,20,20,1.0560,1.0000,1.12,0.0560,2013
handball,austria,hla,1.20,32,32,1.0850,1.0000,2.72,0.0850,2013
handball,austria,hla,1.30,56,48,1.1579,0.8571,-1.24,-0.0221,2013
handball,austria,hla,1.40,72,56,1.2028,0.7778,-6.48,-0.0900,2013
handball,austria,hla,1.50,108,84,1.2900,0.7778,-1.6,-0.0148,2013
handball,austria,hla,1.10,24,20,1.0667,0.8333,-2.6,-0.1083,2012
handball,austria,hla,1.20,48,40,1.1108,0.8333,-3.48,-0.0725,2012
handball,austria,hla,1.30,72,60,1.1650,0.8333,-2.04,-0.0283,2012
handball,austria,hla,1.40,104,88,1.2285,0.8462,4.24,0.0408,2012
handball,austria,hla,1.50,124,108,1.2655,0.8710,13.4,0.1081,2012
