1.41,0
1.48,0
1.36,0
1.4,0
1.48,0
1.24,0
1.27,0
1.31,0
1.45,1
1.35,1
1.44,1
1.26,0
1.2,1
1.07,1
1.28,1
1.21,1
1.46,0
1.44,1
1.29,1
1.33,1
1.27,1
1.15,1
1.31,1
1.4,0
1.18,0
1.33,1
1.17,1
1.41,1
1.09,1
1.38,1
1.45,1
1.25,1
1.24,1
1.38,0
1.06,1
1.44,1
1.29,1
1.33,1
1.27,1
1.15,1
1.31,1
1.4,0
1.18,0
1.33,1
1.17,1
1.41,1
1.09,1
1.38,1
1.45,1
1.25,1
1.24,1
1.38,0
1.06,1
1.17,1
1.21,1
1.13,1
1.1,1
1.2,0
1.3,1
1.2,1
1.29,1
1.44,0
1.44,1
1.2,1
1.33,1
1.4,1
1.08,1
1.17,1
1.4,1
1.14,1
1.36,1
1.44,1
1.45,1
