LeagueId,NoData,Bet,Score
3670,7,1,1.0
3670,3,2,0.6666666666666666
3316,46,1,0.5434782608695652
3316,7,2,0.42857142857142855
3768,10,1,0.8
3768,3,2,0.6666666666666666
3138,1,1,1.0
3138,4,2,0.5
3030,22,1,0.5454545454545454
3030,8,2,0.5
3456,5,1,0.2
3456,6,2,0.5
3176,14,1,0.5714285714285714
3176,5,2,0.2
3103,30,1,0.5666666666666667
3103,8,2,0.625
3487,24,1,0.3333333333333333
3487,16,2,0.6875
3245,68,1,0.5
3245,8,2,0.625
2971,24,1,0.625
2971,17,2,0.5294117647058824
2910,19,1,0.631578947368421
2910,19,2,0.47368421052631576
2865,13,1,0.7692307692307693
2865,11,2,0.18181818181818182
3657,7,1,1.0
3657,6,2,0.5
3055,7,1,0.5714285714285714
3055,5,2,0.6
3311,37,1,0.5945945945945946
3311,6,2,0.3333333333333333
3341,32,1,0.34375
3341,3,2,1.0
3064,3,2,1.0
3453,58,1,0.5
3453,8,2,0.375
3757,13,1,0.3076923076923077
3757,6,2,0.6666666666666666
3777,15,1,0.4666666666666667
3777,2,2,0.5
3315,62,1,0.46774193548387094
3315,6,2,0.3333333333333333
2998,19,1,0.3684210526315789
2998,10,2,0.2
3197,11,1,0.8181818181818182
3197,4,2,0.25
2724,3,1,0.0
2724,2,2,0.5
2946,16,1,0.5625
2946,10,2,0.5
2981,14,1,0.7142857142857143
2981,7,2,0.7142857142857143
3658,11,1,0.36363636363636365
3658,7,2,0.7142857142857143
3215,3,1,0.3333333333333333
3215,8,2,0.875
3149,9,1,0.6666666666666666
3149,9,2,0.8888888888888888
3361,13,1,0.6153846153846154
3361,11,2,0.5454545454545454
3488,16,1,0.5
3488,13,2,0.38461538461538464
3784,9,1,0.4444444444444444
3784,9,2,0.5555555555555556
3630,15,1,0.6666666666666666
3630,6,2,0.3333333333333333
3214,3,1,0.3333333333333333
3214,4,2,0.25
3532,13,1,0.5384615384615384
3353,39,1,0.46153846153846156
3353,11,2,0.36363636363636365
2923,6,1,0.5
2923,7,2,0.5714285714285714
2857,10,1,0.5
2857,7,2,0.42857142857142855
3251,11,1,0.0
3251,9,2,0.7777777777777778
3342,31,1,0.45161290322580644
3342,5,2,0.8
3246,29,1,0.4482758620689655
3246,11,2,0.45454545454545453
3394,26,1,0.5
3394,11,2,0.6363636363636364
2916,11,1,0.45454545454545453
2916,3,2,0.3333333333333333
3356,8,1,0.5
3356,6,2,0.5
3663,17,1,0.47058823529411764
3663,10,2,0.4
3140,5,1,0.2
3354,34,1,0.5
3354,12,2,0.5833333333333334
2968,12,1,0.5
2968,4,2,0.5
3155,13,1,0.38461538461538464
3155,5,2,0.6
3398,14,1,0.35714285714285715
3398,14,2,0.5714285714285714
3033,13,1,0.46153846153846156
3033,10,2,0.5
2772,3,1,0.6666666666666666
2772,5,2,0.8
2851,18,1,0.5
2851,16,2,0.625
3139,12,1,0.6666666666666666
3139,5,2,0.8
3797,15,1,0.5333333333333333
3797,15,2,0.6666666666666666
3803,11,1,0.6363636363636364
3803,4,2,0.75
3192,11,1,0.6363636363636364
3192,6,2,0.8333333333333334
3494,8,1,0.5
3258,37,1,0.4594594594594595
3258,11,2,0.2727272727272727
3452,43,1,0.4883720930232558
3452,27,2,0.4074074074074074
3473,24,1,0.4583333333333333
3473,21,2,0.5714285714285714
2973,17,1,0.5294117647058824
2973,13,2,0.6923076923076923
3629,10,1,0.5
3629,1,2,1.0
3547,3,1,0.6666666666666666
3681,3,1,0.6666666666666666
3681,4,2,0.0
3079,1,1,1.0
3079,7,2,1.0
3359,19,1,0.42105263157894735
3359,13,2,0.46153846153846156
3380,50,1,0.56
3380,4,2,0.75
3646,14,1,0.2857142857142857
3646,3,2,0.6666666666666666
3457,21,1,0.5714285714285714
3457,17,2,0.5294117647058824
3832,6,1,0.6666666666666666
3832,3,2,0.3333333333333333
2922,14,1,0.6428571428571429
2922,4,2,0.75
3413,11,1,0.7272727272727273
3413,6,2,0.6666666666666666
3187,16,1,0.875
3187,11,2,0.7272727272727273
3007,16,1,0.5
3007,10,2,0.6
3779,1,1,0.0
3779,3,2,1.0
3028,28,1,0.5357142857142857
3028,20,2,0.5
3032,10,1,0.7
3032,4,2,0.75
3720,14,1,0.6428571428571429
3720,8,2,0.5
2770,13,1,0.6153846153846154
2770,10,2,0.3
2829,6,1,0.6666666666666666
2829,2,2,1.0
3350,1,1,1.0
3350,1,2,0.0
3358,9,1,0.4444444444444444
3358,7,2,0.42857142857142855
2950,8,1,0.75
2950,6,2,0.6666666666666666
3708,6,1,1.0
3708,4,2,0.25
3110,18,1,0.5555555555555556
3110,15,2,0.26666666666666666
3360,19,1,0.7368421052631579
3360,15,2,0.3333333333333333
2848,3,1,0.6666666666666666
2848,4,2,0.5
2837,17,1,0.6470588235294118
2837,8,2,0.5
2768,4,1,0.5
2768,2,2,0.0
3829,11,1,0.45454545454545453
3829,8,2,0.625
3831,4,1,0.5
3831,2,2,1.0
3179,31,1,0.6129032258064516
3179,3,2,0.6666666666666666
3441,12,1,0.5
3441,4,2,0.0
3531,4,1,0.0
2984,20,1,0.45
2984,8,2,0.625
3383,45,1,0.5333333333333333
3383,5,2,0.4
3650,11,1,0.7272727272727273
3650,7,2,0.7142857142857143
3371,9,1,0.3333333333333333
3371,2,2,0.5
3424,1,1,0.0
3489,5,1,0.6
3489,4,2,0.75
3604,7,1,0.5714285714285714
3604,2,2,1.0
3279,4,1,0.5
2861,13,1,0.46153846153846156
2861,10,2,0.5
2904,2,1,0.0
2904,3,2,0.6666666666666666
2889,7,1,0.5714285714285714
2889,8,2,0.75
3384,28,1,0.4642857142857143
2352,1,0,1.0
2921,6,1,0.6666666666666666
2921,2,2,0.0
2917,18,1,0.5
2917,11,2,0.45454545454545453
3800,10,1,0.5
3800,10,2,0.6
3199,13,1,0.46153846153846156
3199,12,2,0.5833333333333334
3008,14,1,0.7857142857142857
3008,5,2,0.4
3458,27,1,0.7037037037037037
3458,20,2,0.5
3562,4,1,0.5
2977,6,1,0.5
2977,2,2,1.0
3281,4,1,1.0
3281,1,2,0.0
2873,2,1,0.5
2873,1,2,0.0
3020,3,2,1.0
3620,1,1,0.0
3559,7,1,0.2857142857142857
3559,2,2,0.5
3737,8,1,0.5
3737,11,2,0.7272727272727273
3266,31,1,0.5806451612903226
3266,15,2,0.4666666666666667
3460,72,1,0.5416666666666666
3460,34,2,0.4411764705882353
2858,14,1,0.5
2858,18,2,0.7222222222222222
3132,6,1,0.3333333333333333
3132,5,2,0.6
2936,20,1,0.8
2936,13,2,0.5384615384615384
3392,20,1,0.5
3392,11,2,0.45454545454545453
3026,24,1,0.5833333333333334
3026,10,2,0.5
3094,27,1,0.4444444444444444
3094,10,2,0.4
3075,8,1,0.75
3075,2,2,0.5
3850,6,1,0.6666666666666666
3850,1,2,0.0
2989,4,1,1.0
2989,4,2,0.25
3102,14,1,0.5
3102,7,2,0.42857142857142855
2836,8,1,0.375
2836,7,2,0.5714285714285714
2937,18,1,0.7222222222222222
2937,5,2,0.6
3407,6,1,0.5
3407,4,2,0.75
3601,1,1,1.0
3601,4,2,0.25
3031,27,1,0.7777777777777778
3031,6,2,0.0
3825,20,1,0.55
3825,16,2,0.5625
3070,3,1,0.3333333333333333
3070,2,2,0.5
3163,11,1,0.7272727272727273
3163,9,2,0.6666666666666666
3626,8,1,0.125
3626,12,2,0.5833333333333334
3123,4,1,0.5
3123,3,2,0.3333333333333333
3074,1,1,0.0
3074,2,2,1.0
3198,21,1,0.47619047619047616
3198,8,2,0.75
3334,31,1,0.5806451612903226
3334,17,2,0.5882352941176471
3250,11,1,0.6363636363636364
3250,6,2,0.8333333333333334
3109,9,1,0.3333333333333333
3109,19,2,0.7368421052631579
3755,1,1,0.0
3755,3,2,0.3333333333333333
3415,7,1,0.42857142857142855
3415,6,2,0.6666666666666666
3164,4,1,1.0
3164,3,2,1.0
3707,17,1,0.47058823529411764
3707,9,2,0.4444444444444444
3373,9,1,0.7777777777777778
3373,2,2,0.5
3117,12,1,0.4166666666666667
3117,13,2,0.5384615384615384
3013,10,1,0.4
3013,12,2,0.5833333333333334
3189,1,1,1.0
3189,1,2,0.0
3808,11,1,0.45454545454545453
3808,5,2,0.2
3798,1,1,0.0
3444,33,1,0.3939393939393939
3444,5,2,0.6
3529,16,1,0.4375
