Sport,SportId,Precision0,Precision1,Precision2
american-football,1,0.0,0.875,1.0
volleyball,2,0.0,0.8818342151675485,0.8932584269662921
rugby-union,3,0.0,0.865546218487395,0.725
rugby-league,4,0.0,0.8461538461538461,0.6923076923076923
hockey,5,0.0,0.9074074074074074,0.8507462686567164
handball,6,0.0,0.8490566037735849,0.8424657534246576
basketball,7,0.0,0.8450363196125908,0.8025974025974026
baseball,8,0.0,0.7647058823529411,0.5454545454545454
soccer,9,0.4426229508196721,0.8239895697522817,0.8851851851851852
water-polo,10,0.0,0.9375,0.9310344827586207
