LeagueId,NoData,Bet,Score
3053,6,1,1.0
3053,9,2,1.0
3632,4,2,1.0
2332,7,1,0.0
3173,29,1,0.7931034482758621
3173,12,2,0.8333333333333334
2517,10,1,1.0
2517,1,2,1.0
2968,17,1,0.8235294117647058
2968,9,2,0.6666666666666666
3116,29,1,0.9310344827586207
3116,12,2,0.9166666666666666
2161,8,1,0.75
2161,14,2,0.9285714285714286
3500,31,1,0.9032258064516129
3500,12,2,0.75
3211,15,1,0.9333333333333333
3211,13,2,0.9230769230769231
2861,16,1,0.875
2861,11,2,0.7272727272727273
2037,25,1,0.88
2037,2,2,1.0
2799,17,1,0.7058823529411765
2799,7,2,1.0
2433,24,1,0.0
2433,9,2,0.8888888888888888
3149,11,1,1.0
3149,22,2,0.9090909090909091
3237,2,1,1.0
3237,1,2,1.0
2886,37,1,0.972972972972973
2886,8,2,0.75
2852,29,1,0.8620689655172413
2852,1,2,1.0
3413,8,1,1.0
3413,5,2,1.0
3683,22,1,0.9545454545454546
3683,20,2,0.95
3649,34,1,0.8529411764705882
3649,14,2,0.9285714285714286
3179,23,1,1.0
3179,12,2,0.9166666666666666
3827,3,1,1.0
3827,3,2,0.6666666666666666
3667,20,1,0.95
3667,21,2,0.9523809523809523
3557,12,1,0.75
3557,1,2,1.0
2950,18,1,0.7777777777777778
2950,13,2,0.6923076923076923
2282,1,1,1.0
2282,1,2,1.0
3382,4,2,0.75
3559,24,1,0.8333333333333334
3559,1,2,1.0
3768,23,1,0.9565217391304348
3768,10,2,0.9
2849,3,1,1.0
3203,23,1,0.8695652173913043
3203,14,2,0.8571428571428571
3723,4,1,1.0
3723,5,2,1.0
3777,36,1,0.9166666666666666
3777,15,2,1.0
2862,9,1,0.7777777777777778
2862,1,2,1.0
3613,19,1,0.7894736842105263
3613,11,2,1.0
3241,9,1,1.0
3241,7,2,0.8571428571428571
3796,10,1,0.7
3796,9,2,1.0
3765,17,1,0.8823529411764706
3765,10,2,0.8
2287,3,1,1.0
3531,6,1,0.8333333333333334
3531,3,2,0.6666666666666666
2891,27,1,0.7407407407407407
2891,13,2,0.6923076923076923
3758,2,1,1.0
3758,2,2,1.0
3720,25,1,0.92
3720,18,2,0.8888888888888888
2989,23,1,0.8260869565217391
2989,8,2,0.875
3625,3,2,1.0
2278,19,1,0.7894736842105263
2278,9,2,0.8888888888888888
2951,16,1,0.875
2951,7,2,1.0
2651,2,1,0.0
3056,18,1,0.7777777777777778
3056,6,2,0.5
3248,10,1,0.9
3248,4,2,0.75
2866,26,1,0.8461538461538461
2866,3,2,1.0
3517,13,1,0.7692307692307693
3517,2,2,0.0
3821,7,1,1.0
