LeagueId,NoData,Bet,MinOdd,MaxOdd,Score,AvgOdd
3767,135,1,1.20,1.40,0.8666666666666667,1.2904444444444443
1942,175,1,1.40,1.60,0.7371428571428571,1.4797714285714287
2067,107,1,1.40,1.60,0.719626168224299,1.4937383177570094
2097,180,1,1.40,1.60,0.7166666666666667,1.5
2104,164,2,1.40,1.60,0.7195121951219512,1.489939024390244
2245,109,1,1.40,1.60,0.7155963302752294,1.501743119266055
2251,160,1,1.40,1.60,0.71875,1.48475
2453,133,1,1.40,1.60,0.7669172932330827,1.4686466165413532
2665,136,1,1.40,1.60,0.7205882352941176,1.4915441176470587
2837,115,1,1.40,1.60,0.7478260869565218,1.480260869565217
3009,113,2,1.40,1.60,0.7168141592920354,1.4923008849557522
3266,269,1,1.40,1.60,0.7286245353159851,1.4825278810408922
3796,104,1,1.40,1.60,0.7211538461538461,1.4763461538461538
2121,153,1,1.60,1.80,0.6405228758169934,1.6854248366013072
2236,113,1,1.60,1.80,0.6371681415929203,1.6905309734513274
2313,111,1,1.60,1.80,0.6486486486486487,1.6929729729729732
2380,115,2,1.60,1.80,0.6260869565217392,1.6971304347826086
2467,136,2,1.60,1.80,0.6764705882352942,1.6915441176470587
2517,111,2,1.60,1.80,0.6306306306306306,1.6892792792792795
2828,111,2,1.60,1.80,0.6396396396396397,1.6833333333333333
2946,159,2,1.60,1.80,0.6352201257861635,1.6881761006289306
3048,152,1,1.60,1.80,0.631578947368421,1.6798684210526316
3173,117,1,1.60,1.80,0.6324786324786325,1.689059829059829
3251,258,1,1.60,1.80,0.6356589147286822,1.6868217054263566
3392,129,1,1.60,1.80,0.6511627906976745,1.6797674418604651
3488,354,2,1.60,1.80,0.655367231638418,1.6896610169491522
3709,160,1,1.60,1.80,0.6375,1.6830624999999997
1945,237,1,1.80,2.00,0.569620253164557,1.8958227848101263
1988,117,1,1.80,2.00,0.5897435897435898,1.8924786324786322
2005,187,1,1.80,2.00,0.5828877005347594,1.8925133689839575
2006,103,2,1.80,2.00,0.5728155339805825,1.8969902912621361
2008,170,1,1.80,2.00,0.611764705882353,1.8989999999999998
2112,227,1,1.80,2.00,0.5903083700440529,1.8800440528634363
2149,109,2,1.80,2.00,0.5871559633027523,1.8986238532110096
2154,172,2,1.80,2.00,0.5697674418604651,1.894127906976744
2254,114,1,1.80,2.00,0.5701754385964912,1.8952631578947368
2280,129,1,1.80,2.00,0.6356589147286822,1.8748837209302327
2304,232,1,1.80,2.00,0.5646551724137931,1.891551724137931
2332,123,2,1.80,2.00,0.6422764227642277,1.8885365853658536
2574,158,1,1.80,2.00,0.5949367088607594,1.8821518987341777
2651,123,2,1.80,2.00,0.5934959349593496,1.8995934959349594
2674,162,1,1.80,2.00,0.5864197530864198,1.9004320987654322
2688,564,1,1.80,2.00,0.5673758865248227,1.8988297872340427
3030,168,1,1.80,2.00,0.5654761904761905,1.8696428571428574
3245,414,1,1.80,2.00,0.5676328502415459,1.8892512077294685
3257,109,2,1.80,2.00,0.5596330275229358,1.8988990825688072
3325,137,1,1.80,2.00,0.5912408759124088,1.8782481751824822
3347,404,1,1.80,2.00,0.5594059405940595,1.8909653465346536
