LeagueId,NoData,Bet,MinOdd,MaxOdd,Score,AvgOdd
3347,174,2,1.80,2.00,0.5689655172413793,1.8916666666666666
3457,108,1,1.80,2.00,0.5648148148148148,1.8309259259259265
3464,224,1,1.80,2.00,0.5669642857142857,1.8368750000000003
3487,127,1,1.80,2.00,0.5826771653543307,1.8481889763779527
1945,190,1,2.00,2.20,0.5842105263157895,2.089
2009,160,1,2.00,2.20,0.55,2.086875
2023,131,2,2.00,2.20,0.5038167938931297,2.0964885496183205
2036,161,1,2.00,2.20,0.5093167701863354,2.0936024844720498
2044,111,1,2.00,2.20,0.5405405405405406,2.09
2165,132,1,2.00,2.20,0.5378787878787878,2.0816666666666666
2223,145,2,2.00,2.20,0.5379310344827586,2.0957931034482757
2240,145,2,2.00,2.20,0.5241379310344828,2.095310344827586
2246,153,1,2.00,2.20,0.5163398692810458,2.0987581699346407
2380,204,2,2.00,2.20,0.5049019607843137,2.0978431372549022
2391,111,1,2.00,2.20,0.5135135135135135,2.0754054054054056
2439,195,1,2.00,2.20,0.5384615384615384,2.0970769230769233
2467,116,2,2.00,2.20,0.5689655172413793,2.086637931034483
2473,304,1,2.00,2.20,0.5164473684210527,2.092796052631579
2491,131,2,2.00,2.20,0.5038167938931297,2.0948854961832066
2499,130,1,2.00,2.20,0.5076923076923077,2.0843076923076924
2517,265,1,2.00,2.20,0.5018867924528302,2.094301886792453
2573,186,1,2.00,2.20,0.5053763440860215,2.1028494623655916
2630,153,2,2.00,2.20,0.5163398692810458,2.0943790849673203
2662,208,1,2.00,2.20,0.5048076923076923,2.0894711538461537
2710,149,2,2.00,2.20,0.5302013422818792,2.0902684563758394
2719,131,2,2.00,2.20,0.5190839694656488,2.0852671755725187
3246,145,1,2.00,2.20,0.5448275862068965,2.085241379310345
3251,165,2,2.00,2.20,0.509090909090909,2.084848484848485
3311,116,2,2.00,2.20,0.5775862068965517,2.1002586206896554
3343,239,2,2.00,2.20,0.502092050209205,2.0997907949790795
2009,135,1,2.20,2.40,0.4888888888888889,2.276814814814814
2043,294,1,2.20,2.40,0.4965986394557823,2.2891156462585034
2050,108,1,2.20,2.40,0.46296296296296297,2.2935185185185185
2100,148,1,2.20,2.40,0.47297297297297297,2.2945270270270264
2147,341,2,2.20,2.40,0.4780058651026393,2.2963049853372435
2151,296,2,2.20,2.40,0.46283783783783783,2.2966891891891894
3866,159,1,2.20,2.40,0.4968553459119497,2.279559748427673
3866,123,2,2.20,2.40,0.4634146341463415,2.279186991869919
2223,160,2,2.20,2.40,0.475,2.294125
2245,155,1,2.20,2.40,0.4774193548387097,2.295806451612903
2258,102,2,2.20,2.40,0.46078431372549017,2.2868627450980394
2300,119,1,2.20,2.40,0.5126050420168067,2.276302521008404
2304,220,1,2.20,2.40,0.4681818181818182,2.2841818181818185
2304,133,2,2.20,2.40,0.48872180451127817,2.2908270676691727
2329,174,1,2.20,2.40,0.47701149425287354,2.281149425287356
2332,118,2,2.20,2.40,0.4576271186440678,2.2877118644067798
2343,156,2,2.20,2.40,0.46794871794871795,2.296346153846154
2429,243,1,2.20,2.40,0.4732510288065844,2.2826337448559673
2444,155,2,2.20,2.40,0.4645161290322581,2.3023225806451615
2516,103,1,2.20,2.40,0.47572815533980584,2.2808737864077666
2573,181,1,2.20,2.40,0.4696132596685083,2.2819337016574583
2596,119,1,2.20,2.40,0.48739495798319327,2.2926890756302525
2633,139,1,2.20,2.40,0.460431654676259,2.295611510791367
3250,464,1,2.20,2.40,0.46336206896551724,2.2620043103448277
3251,497,1,2.20,2.40,0.48088531187122735,2.2773641851106636
3257,515,1,2.20,2.40,0.4621359223300971,2.2784854368932037
3266,126,1,2.20,2.40,0.4603174603174603,2.2715079365079367
3354,260,1,2.20,2.40,0.4807692307692308,2.2721923076923076
3386,143,1,2.20,2.40,0.46153846153846156,2.2684615384615383
1986,105,1,2.40,2.60,0.4380952380952381,2.4889523809523815
2023,171,2,2.40,2.60,0.45614035087719296,2.4837426900584796
2083,153,2,2.40,2.60,0.45098039215686275,2.4730065359477122
2087,108,1,2.40,2.60,0.4351851851851852,2.4705555555555554
2126,143,2,2.40,2.60,0.42657342657342656,2.4875524475524475
2141,115,1,2.40,2.60,0.4434782608695652,2.477130434782609
2241,167,2,2.40,2.60,0.437125748502994,2.500299401197605
2242,148,2,2.40,2.60,0.43243243243243246,2.4601351351351353
2342,294,1,2.40,2.60,0.43197278911564624,2.4861904761904765
2380,194,2,2.40,2.60,0.44329896907216493,2.471185567010309
2497,237,1,2.40,2.60,0.4219409282700422,2.491518987341772
2555,102,2,2.40,2.60,0.46078431372549017,2.459705882352941
2651,111,2,2.40,2.60,0.42342342342342343,2.467477477477477
1950,111,1,2.60,2.80,0.4774774774774775,2.6537837837837843
