LeagueId,NoData,Bet,Score,AvgOdd
3440,36,2,0.25,2.154722222222223
2539,101,1,0.24752475247524752,3.385841584158416
2539,2,2,0.5,2.385
2092,292,1,0.386986301369863,2.511404109589041
3257,863,2,0.2885283893395133,3.385550405561993
3452,646,2,0.39628482972136225,2.394798761609907
2752,4,1,0.25,7.7524999999999995
2752,10,2,0.4,2.448
3206,149,0,0.06040268456375839,12.57758389261745
2148,827,1,0.34099153567110035,2.6207496977025393
3211,94,0,0.0425531914893617,12.970106382978724
3221,67,0,0.07462686567164178,12.425373134328357
2145,97,1,0.28865979381443296,2.462164948453608
2278,178,0,0.14606741573033707,5.734550561797753
3460,2492,2,0.4065008025682183,2.385529695024077
2633,138,1,0.37681159420289856,3.006376811594203
2498,335,1,0.35522388059701493,2.7057910447761198
3353,757,2,0.25891677675033026,3.347873183619551
2095,96,1,0.2916666666666667,2.9140625
2328,217,1,0.2995391705069124,2.7024423963133644
3307,426,2,0.29577464788732394,3.5187323943661974
3026,1413,2,0.28662420382165604,4.264005661712668
2261,103,1,0.33980582524271846,2.9233009708737865
3732,148,2,0.25,4.4248648648648645
2473,281,1,0.3594306049822064,2.6948754448398575
2864,132,2,0.2727272727272727,4.070757575757576
3215,54,2,0.2037037037037037,6.904259259259259
3031,2106,2,0.2331433998100665,5.182787274453942
2112,124,1,0.3951612903225806,2.9019354838709677
3316,549,2,0.28415300546448086,3.3550455373406196
3442,182,2,0.33516483516483514,2.2512637362637364
2988,16,2,0.375,4.930625
3488,654,2,0.22324159021406728,7.572951070336392
2727,351,1,0.31339031339031337,3.7119373219373215
2727,218,2,0.23394495412844038,5.082522935779817
2306,34,1,0.47058823529411764,2.8458823529411768
3047,74,2,0.2972972972972973,3.165540540540541
2914,9,2,0.2222222222222222,3.0444444444444447
1950,573,1,0.3856893542757417,2.6305061082024435
2416,94,1,0.3723404255319149,3.25340425531915
3245,514,2,0.2801556420233463,3.771128404669261
3864,158,2,0.26582278481012656,5.434936708860759
3249,566,2,0.284452296819788,3.4137809187279147
2241,332,1,0.37650602409638556,2.4750602409638556
3251,460,2,0.3282608695652174,3.5072608695652177
2147,727,1,0.32737276478679506,2.589023383768913
2225,409,1,0.38141809290953543,2.559242053789731
2229,65,1,0.38461538461538464,2.512
2589,296,1,0.36824324324324326,2.7107432432432432
2321,126,1,0.3412698412698413,3.0036507936507935
2923,93,2,0.25806451612903225,3.934516129032258
2223,499,1,0.3627254509018036,2.874248496993988
2483,155,0,0.17419354838709677,5.187741935483872
3334,427,2,0.24355971896955503,4.825878220140515
2228,63,1,0.3968253968253968,2.557301587301587
2554,226,1,0.30973451327433627,3.301017699115044
3397,177,2,0.2598870056497175,4.378135593220339
3380,629,2,0.287758346581876,3.3872813990461057
2154,363,1,0.38292011019283745,2.6799173553719005
3461,400,2,0.4675,2.202075
3383,2538,2,0.30023640661938533,2.995378250591017
2866,64,2,0.1875,3.8318749999999997
3624,5,2,0.2,8.378
2626,253,0,0.1857707509881423,5.409683794466403
3384,2039,2,0.3589995095635115,2.7591319274154
2911,301,2,0.2857142857142857,3.3898671096345514
2007,190,1,0.3526315789473684,2.839736842105263
2444,352,1,0.3039772727272727,3.5303409090909095
3453,732,2,0.3743169398907104,2.2648087431693993
2535,356,1,0.31179775280898875,3.2960393258426968
2908,248,2,0.2782258064516129,4.378709677419355
2418,31,1,0.3870967741935484,3.38741935483871
2630,297,1,0.30303030303030304,3.036868686868687
2168,37,1,0.4594594594594595,4.35864864864865
3336,314,2,0.2070063694267516,5.529713375796178
2024,326,1,0.34049079754601225,2.959815950920245
2467,253,1,0.3241106719367589,3.264624505928854
2910,267,2,0.29213483146067415,3.9353183520599253
2788,48,2,0.125,3.2591666666666668
2499,105,1,0.3619047619047619,2.6073333333333335
1987,108,1,0.28703703703703703,3.171111111111111
2528,266,1,0.34210526315789475,3.3674436090225566
3179,197,2,0.19796954314720813,5.44258883248731
3825,97,2,0.2268041237113402,4.399896907216495
2650,258,1,0.32170542635658916,2.9799612403100775
2239,369,1,0.37398373983739835,3.293224932249322
2019,201,1,0.3383084577114428,3.285522388059702
2912,20,2,0.25,3.7960000000000007
3258,701,2,0.2653352353780314,3.862724679029957
2150,698,1,0.35673352435530087,2.794527220630372
3788,74,2,0.21621621621621623,5.384729729729729
3131,170,0,0.029411764705882353,13.240823529411765
2541,72,1,0.2361111111111111,3.840694444444444
2381,476,1,0.3445378151260504,2.924096638655462
3009,219,2,0.273972602739726,3.444383561643835
3048,127,2,0.2047244094488189,2.907874015748031
2986,65,2,0.27692307692307694,4.426769230769231
2141,223,1,0.35874439461883406,2.704170403587444
2246,146,1,0.3150684931506849,3.0878767123287676
3603,15,2,0.2,7.082666666666667
3866,236,2,0.3093220338983051,3.5661864406779658
3709,192,2,0.28125,4.244947916666667
2284,283,1,0.3215547703180212,3.727420494699647
3731,32,2,0.15625,6.227500000000001
2409,157,1,0.1910828025477707,5.766114649681529
3458,297,2,0.4478114478114478,2.3852188552188553
3760,111,2,0.17117117117117117,7.118018018018018
2338,249,1,0.3132530120481928,3.0832128514056225
2731,17,1,0.5294117647058824,4.37235294117647
2731,8,2,0.625,3.8774999999999995
2344,95,1,0.3684210526315789,2.793263157894737
2614,570,1,0.39649122807017545,2.5101929824561404
2343,632,1,0.35917721518987344,2.662231012658228
2254,112,1,0.3482142857142857,3.1723214285714287
1990,127,1,0.33070866141732286,3.1803149606299215
3354,571,2,0.26970227670753066,3.5867250437828364
2728,174,1,0.3505747126436782,3.5400574712643675
