Township Rollers - Miscellaneous,1.37,0
Green Lovers - Township Rollers,1.08,1
Green Lovers - Orapa United,1.41,1
Centre Chiefs - Sankoyo Bush Bucks,1.37,0
Township Rollers - Satmos,1.17,1
Township Rollers - Orapa United,1.5,1
